tempo;entrada;saida
0;3;3,4926
0,1;3;3,6382
0,2;3;3,6803
0,3;3;3,7077
0,4;3;3,6678
0,5;3;3,7035
0,6;3;3,7425
0,7;3;3,6726
0,8;3;3,4752
0,9;3;3,6375
1;3;3,6656
1,1;3;3,8799
1,2;3;3,568
1,3;3;3,6479
1,4;3;3,6497
1,5;3;3,632
1,6;3;3,679
1,7;3;3,6674
1,8;3;3,5779
1,9;3;3,728
2;3;3,6339
2,1;3;3,6656
2,2;3;3,6644
2,3;3;3,5327
2,4;3;2,9405
2,5;3;3,6974
2,6;3;3,647
2,7;3;3,7582
2,8;3;3,6772
2,9;3;3,6827
3;3;3,6037
3,1;3;3,6107
3,2;3;3,6787
3,3;3;3,6742
3,4;3;3,6626
3,5;3;3,0591
3,6;3;4,7437
3,7;3;3,6693
3,8;3;3,672
3,9;3;3,672
4;3;3,6681
4,1;3;3,6644
4,2;3;3,7376
4,3;3;3,9085
4,4;3;3,6548
4,5;3;3,6839
4,6;3;3,7657
4,7;3;3,6804
4,8;3;3,6597
4,9;3;3,7062
5;3;3,6681
5,1;3;3,6497
5,2;3;3,6778
5,3;3;3,654
5,4;3;3,6638
5,5;3;3,4766
5,6;3;3,6803
5,7;3;3,6497
5,8;3;4,3996
5,9;3;3,6778
6;3;3,6607
6,1;3;3,6327
6,2;3;3,5997
6,3;3;3,6778
6,4;3,5;3,6742
6,5;3,5;3,6584
6,6;3,5;3,6522
6,7;3,5;3,2564
6,8;3,5;3,6398
6,9;3,5;3,629
7;3,5;3,7151
7,1;3,5;3,6717
7,2;3,5;3,2277
7,3;3,5;3,6723
7,4;3,5;3,9717
7,5;3,5;3,679
7,6;3,5;3,6705
7,7;3,5;3,7361
7,8;3,5;3,3311
7,9;3,5;3,679
8;3,5;3,7212
8,1;3,5;3,7694
8,2;3,5;3,7218
8,3;3,5;3,7651
8,4;3,5;3,7572
8,5;3,5;3,8158
8,6;3,5;3,0763
8,7;3,5;3,9021
8,8;3,5;3,8159
8,9;3,5;3,8545
9;3,5;4,1209
9,1;3,5;3,8695
9,2;3,5;3,8188
9,3;3,5;4,044
9,4;3,5;3,8823
9,5;3,5;3,8831
9,6;3,5;3,8976
9,7;3,5;3,6592
9,8;3,5;3,9256
9,9;3,5;3,9375
10;3,5;3,9282
10,1;3,5;3,6705
10,2;3,5;3,9478
10,3;3,5;4,3703
