k;p;tp;tn;fp;fn
1;1;216;237;26;22
2;1;210;253;10;28
3;1;224;242;21;14
4;1;223;250;13;15
5;1;227;245;18;11
6;1;225;249;14;13
7;1;226;243;20;12
8;1;226;246;17;12
9;1;229;245;18;9
10;1;228;245;18;10
11;1;229;244;19;9
12;1;227;245;18;11
13;1;230;244;19;8
14;1;230;245;18;8
15;1;230;245;18;8
16;1;230;245;18;8
17;1;230;244;19;8
18;1;230;244;19;8
19;1;230;244;19;8
20;1;230;245;18;8
21;1;230;245;18;8
22;1;229;245;18;9
23;1;229;245;18;9
24;1;229;245;18;9
25;1;229;244;19;9
26;1;229;244;19;9
27;1;229;244;19;9
28;1;229;244;19;9
29;1;229;244;19;9
30;1;229;245;18;9
31;1;229;245;18;9
32;1;229;245;18;9
33;1;229;245;18;9
34;1;229;245;18;9
35;1;229;245;18;9
36;1;229;245;18;9
37;1;229;244;19;9
38;1;229;246;17;9
39;1;229;245;18;9
40;1;228;245;18;10
41;1;228;245;18;10
42;1;228;245;18;10
43;1;228;245;18;10
44;1;228;245;18;10
45;1;228;245;18;10
46;1;228;246;17;10
47;1;228;245;18;10
48;1;228;245;18;10
49;1;228;245;18;10
50;1;228;246;17;10
51;1;228;245;18;10
52;1;228;245;18;10
53;1;228;245;18;10
54;1;227;247;16;11
55;1;228;247;16;10
56;1;227;247;16;11
57;1;227;247;16;11
58;1;227;248;15;11
59;1;227;248;15;11
60;1;227;249;14;11
61;1;227;249;14;11
62;1;227;249;14;11
63;1;227;249;14;11
64;1;226;249;14;12
65;1;226;249;14;12
66;1;225;249;14;13
67;1;225;249;14;13
68;1;225;250;13;13
69;1;225;249;14;13
70;1;225;250;13;13
71;1;225;250;13;13
72;1;225;250;13;13
73;1;225;250;13;13
74;1;224;250;13;14
75;1;224;249;14;14
76;1;224;250;13;14
77;1;225;250;13;13
78;1;224;250;13;14
79;1;224;250;13;14
80;1;223;250;13;15
81;1;224;250;13;14
82;1;224;250;13;14
83;1;224;249;14;14
84;1;224;249;14;14
85;1;224;249;14;14
86;1;224;250;13;14
87;1;224;250;13;14
88;1;224;250;13;14
89;1;224;250;13;14
90;1;224;250;13;14
91;1;224;250;13;14
92;1;223;250;13;15
93;1;223;250;13;15
94;1;223;250;13;15
95;1;223;250;13;15
96;1;223;250;13;15
97;1;223;250;13;15
98;1;223;250;13;15
99;1;223;250;13;15
1;2;218;239;24;20
2;2;206;255;8;32
3;2;224;242;21;14
4;2;221;250;13;17
5;2;228;243;20;10
6;2;223;248;15;15
7;2;228;243;20;10
8;2;227;246;17;11
9;2;229;244;19;9
10;2;228;245;18;10
11;2;229;244;19;9
12;2;229;244;19;9
13;2;230;244;19;8
14;2;230;245;18;8
15;2;230;245;18;8
16;2;229;245;18;9
17;2;229;244;19;9
18;2;229;244;19;9
19;2;229;244;19;9
20;2;229;244;19;9
21;2;229;244;19;9
22;2;229;244;19;9
23;2;229;244;19;9
24;2;229;244;19;9
25;2;229;244;19;9
26;2;229;244;19;9
27;2;229;244;19;9
28;2;229;244;19;9
29;2;229;244;19;9
30;2;229;244;19;9
31;2;229;244;19;9
32;2;229;244;19;9
33;2;229;244;19;9
34;2;229;244;19;9
35;2;229;244;19;9
36;2;229;244;19;9
37;2;229;244;19;9
38;2;229;244;19;9
39;2;229;244;19;9
40;2;229;244;19;9
41;2;229;244;19;9
42;2;229;244;19;9
43;2;229;244;19;9
44;2;229;244;19;9
45;2;229;244;19;9
46;2;229;244;19;9
47;2;229;244;19;9
48;2;229;245;18;9
49;2;229;245;18;9
50;2;229;245;18;9
51;2;229;245;18;9
52;2;229;245;18;9
53;2;229;245;18;9
54;2;229;245;18;9
55;2;229;245;18;9
56;2;229;245;18;9
57;2;229;245;18;9
58;2;229;245;18;9
59;2;229;245;18;9
60;2;229;246;17;9
61;2;229;245;18;9
62;2;228;247;16;10
63;2;228;247;16;10
64;2;228;248;15;10
65;2;228;248;15;10
66;2;228;249;14;10
67;2;228;248;15;10
68;2;227;249;14;11
69;2;228;249;14;10
70;2;227;249;14;11
71;2;227;249;14;11
72;2;226;249;14;12
73;2;226;249;14;12
74;2;225;249;14;13
75;2;225;249;14;13
76;2;225;249;14;13
77;2;225;249;14;13
78;2;225;249;14;13
79;2;225;249;14;13
80;2;225;249;14;13
81;2;225;249;14;13
82;2;225;249;14;13
83;2;225;249;14;13
84;2;225;249;14;13
85;2;225;249;14;13
86;2;225;249;14;13
87;2;225;249;14;13
88;2;225;249;14;13
89;2;225;248;15;13
90;2;224;249;14;14
91;2;224;249;14;14
92;2;224;249;14;14
93;2;224;249;14;14
94;2;224;249;14;14
95;2;224;249;14;14
96;2;224;249;14;14
97;2;224;249;14;14
98;2;223;249;14;15
99;2;223;249;14;15
